,X,tname,head,O1,O2,pChoseO1,pMaj,Winner,ttype,ircosPred,modAcc,twoDPred,twoDAcc,glovePred,gloveAcc,flan,flacc,lfv,lfvacc,lvandflan,lvflanacc,lfv3,lfv3acc,lv3flan,lv3flacc
134,v2.22,pan pipe_organ_vacuum,pan pipe,organ,vacuum,0.621621621621622,0.621621621621622,organ,CD,organ,1,organ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,v3.22,bassoon_cymbals_potato,bassoon,cymbals,potato,0.918918918918919,0.918918918918919,cymbals,COD,cymbals,1,cymbals,1,cymbals,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,v4.22,drum_sled_whip,drum,sled,whip,0.432432432432432,0.567567567567568,whip,DD,sled,0,sled,0,whip,1,whip,1,sled,0,whip,1,sled,0,whip,1
137,v5.22,synthesizer_hat_robin,synthesizer,hat,robin,0.5,0.5,hat,DOD,hat,1,hat,1,robin,0,hat,1,hat,1,hat,1,hat,1,hat,1
138,v6.22,harpsichord_blackbird_earwig,harpsichord,blackbird,earwig,0.621621621621622,0.621621621621622,blackbird,ODOD,blackbird,1,blackbird,1,earwig,0,blackbird,1,earwig,0,earwig,0,earwig,0,blackbird,1
139,v1.23,pyjamas_blouse_sweater,pyjamas,blouse,sweater,0.351351351351351,0.648648648648649,sweater,CC,blouse,0,sweater,1,sweater,1,sweater,1,sweater,1,sweater,1,sweater,1,sweater,1
140,v2.23,skirt_accordion_coat,skirt,accordion,coat,0.135135135135135,0.864864864864865,coat,CD,coat,1,coat,1,coat,1,coat,1,coat,1,coat,1,coat,1,coat,1
141,v3.23,belt_apricot_coat,belt,apricot,coat,0.0833333333333333,0.916666666666667,coat,COD,coat,1,coat,1,coat,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,v4.23,sweater_slingshot_van,sweater,slingshot,van,0.527777777777778,0.527777777777778,slingshot,DD,van,0,slingshot,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,v5.23,halter top_bus_ladybug,halter top,bus,ladybug,0.571428571428571,0.571428571428571,bus,DOD,ladybug,0,ladybug,0,bus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,v6.23,pyjamas_chameleon_falcon,pyjamas,chameleon,falcon,0.513513513513513,0.513513513513513,chameleon,ODOD,chameleon,1,chameleon,1,chameleon,1,chameleon,1,chameleon,1,chameleon,1,falcon,0,chameleon,1
145,v1.24,club_army tank_sword,club,army tank,sword,0.162162162162162,0.837837837837838,sword,CC,sword,1,sword,1,army tank,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,v2.24,club_grenade_lawnmower,club,grenade,lawnmower,0.861111111111111,0.861111111111111,grenade,CD,grenade,1,grenade,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,v3.24,grenade_shark_whip,grenade,shark,whip,0.0555555555555556,0.944444444444444,whip,COD,whip,1,whip,1,whip,1,whip,1,whip,1,whip,1,whip,1,whip,1
148,v4.24,rope_mittens_truck,rope,mittens,truck,0.594594594594595,0.594594594594595,mittens,DD,mittens,1,mittens,1,mittens,1,truck,0,mittens,1,mittens,1,mittens,1,mittens,1
149,v5.24,spear_accordion_horsefly,spear,accordion,horsefly,0.777777777777778,0.777777777777778,accordion,DOD,horsefly,0,accordion,1,horsefly,0,accordion,1,accordion,1,accordion,1,accordion,1,accordion,1
150,v6.24,whip_lion_zebra,whip,lion,zebra,0.756756756756757,0.756756756756757,lion,ODOD,lion,1,zebra,0,lion,1,lion,1,lion,1,lion,1,lion,1,lion,1
151,v1.25,trailer_mo-ped_submarine,trailer,mo-ped,submarine,0.594594594594595,0.594594594594595,mo-ped,CC,submarine,0,mo-ped,1,mo-ped,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,v2.25,car_bathing suit_truck,car,bathing suit,truck,0.162162162162162,0.837837837837838,truck,CD,truck,1,truck,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,v3.25,bus_pelican_scooter,bus,pelican,scooter,0.138888888888889,0.861111111111111,scooter,COD,scooter,1,scooter,1,scooter,1,scooter,1,scooter,1,scooter,1,scooter,1,scooter,1
154,v4.25,truck_furnace_screwdriver,truck,furnace,screwdriver,0.486486486486487,0.513513513513513,screwdriver,DD,furnace,0,furnace,0,furnace,0,screwdriver,1,furnace,0,furnace,0,furnace,0,screwdriver,1
155,v5.25,rocket_accordion_lime,rocket,accordion,lime,0.756756756756757,0.756756756756757,accordion,DOD,lime,0,accordion,1,accordion,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,v6.25,hot air balloon_fig_leek,hot air balloon,fig,leek,0.432432432432432,0.567567567567568,leek,ODOD,fig,0,leek,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,v1.26,ladybug_centipede_leech,ladybug,centipede,leech,0.918918918918919,0.918918918918919,centipede,CC,centipede,1,centipede,1,centipede,1,centipede,1,centipede,1,centipede,1,centipede,1,centipede,1
158,v2.26,horsefly_butterfly_turkey,horsefly,butterfly,turkey,0.864864864864865,0.864864864864865,butterfly,CD,butterfly,1,butterfly,1,butterfly,1,butterfly,1,butterfly,1,butterfly,1,butterfly,1,butterfly,1
159,v3.26,moth_ladybug_passionfruit,moth,ladybug,passionfruit,0.918918918918919,0.918918918918919,ladybug,COD,ladybug,1,ladybug,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,v4.26,wasp_deer_mouse,wasp,deer,mouse,0.135135135135135,0.864864864864865,mouse,DD,mouse,1,mouse,1,mouse,1,mouse,1,mouse,1,mouse,1,mouse,1,mouse,1
161,v5.26,beetle_frog_grape,beetle,frog,grape,0.783783783783784,0.783783783783784,frog,DOD,frog,1,frog,1,frog,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,v6.26,ant_banana_eggplant,ant,banana,eggplant,0.594594594594595,0.594594594594595,banana,ODOD,eggplant,0,banana,1,banana,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,v1.27,swordfish_orca_trout,swordfish,orca,trout,0.324324324324324,0.675675675675676,trout,CC,orca,0,trout,1,trout,1,trout,1,trout,1,trout,1,trout,1,trout,1
164,v2.27,goldfish_canary_orca,goldfish,canary,orca,0.378378378378378,0.621621621621622,orca,CD,orca,1,canary,0,orca,1,orca,1,orca,1,orca,1,NA,NA,NA,NA
165,v3.27,northern pike_sperm whale_tomato,northern pike,sperm whale,tomato,0.783783783783784,0.783783783783784,sperm whale,COD,sperm whale,1,sperm whale,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,v4.27,goldfish_cuckoo_snake,goldfish,cuckoo,snake,0.378378378378378,0.621621621621622,snake,DD,snake,1,cuckoo,0,cuckoo,0,cuckoo,0,snake,1,snake,1,cuckoo,0,cuckoo,0
167,v5.27,squid_cobra_pea,squid,cobra,pea,0.837837837837838,0.837837837837838,cobra,DOD,cobra,1,cobra,1,pea,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,v6.27,sperm whale_organ_pepper,sperm whale,organ,pepper,0.810810810810811,0.810810810810811,organ,ODOD,organ,1,organ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,v1.28,chameleon_crocodile_lizard,chameleon,crocodile,lizard,0.297297297297297,0.702702702702703,lizard,CC,lizard,1,lizard,1,lizard,1,lizard,1,lizard,1,lizard,1,lizard,1,lizard,1
170,v2.28,alligator_boa constrictor_ostrich,alligator,boa constrictor,ostrich,0.783783783783784,0.783783783783784,boa constrictor,CD,boa constrictor,1,ostrich,0,ostrich,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,v3.28,python_iguana_skateboard,python,iguana,skateboard,0.891891891891892,0.891891891891892,iguana,COD,iguana,1,iguana,1,iguana,1,iguana,1,iguana,1,iguana,1,iguana,1,iguana,1
172,v4.28,dinosaur_brown bat_pelican,dinosaur,brown bat,pelican,0.25,0.75,pelican,DD,brown bat,0,pelican,1,pelican,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,v5.28,cobra_cherry_penguin,cobra,cherry,penguin,0.0810810810810811,0.918918918918919,penguin,DOD,penguin,1,penguin,1,penguin,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,v6.28,tortoise_fridge_harpsichord,tortoise,fridge,harpsichord,0.486486486486487,0.513513513513513,harpsichord,ODOD,fridge,0,harpsichord,1,fridge,0,harpsichord,1,harpsichord,1,harpsichord,1,harpsichord,1,harpsichord,1
175,v1.29,owl_cuckoo_rooster,owl,cuckoo,rooster,0.459459459459459,0.540540540540541,rooster,CC,cuckoo,0,rooster,1,cuckoo,0,cuckoo,0,cuckoo,0,cuckoo,0,cuckoo,0,cuckoo,0
176,v2.29,chicken_dove_moth,chicken,dove,moth,0.864864864864865,0.864864864864865,dove,CD,dove,1,dove,1,dove,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,v3.29,heron_mo-ped_stork,heron,mo-ped,stork,0,1,stork,COD,stork,1,stork,1,stork,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,v4.29,dove_beetle_tiger,dove,beetle,tiger,0.810810810810811,0.810810810810811,beetle,DD,tiger,0,tiger,0,tiger,0,beetle,1,beetle,1,beetle,1,beetle,1,beetle,1
179,v5.29,heron_accordion_turtle,heron,accordion,turtle,0.216216216216216,0.783783783783784,turtle,DOD,turtle,1,turtle,1,turtle,1,turtle,1,turtle,1,turtle,1,turtle,1,turtle,1
180,v6.29,blackbird_mango_violin,blackbird,mango,violin,0.567567567567568,0.567567567567568,mango,ODOD,mango,1,violin,0,mango,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,v1.30,deer_lion_tiger,deer,lion,tiger,0.351351351351351,0.648648648648649,tiger,CC,tiger,1,tiger,1,lion,0,lion,0,tiger,1,lion,0,tiger,1,lion,0
182,v2.30,brown bat_ladybug_tiger,brown bat,ladybug,tiger,0.675675675675676,0.675675675675676,ladybug,CD,tiger,0,ladybug,1,tiger,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,v3.30,tiger_hedgehog_vacuum,tiger,hedgehog,vacuum,0.891891891891892,0.891891891891892,hedgehog,COD,hedgehog,1,hedgehog,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,v4.30,elephant_sperm whale_swan,elephant,sperm whale,swan,0.810810810810811,0.810810810810811,sperm whale,DD,sperm whale,1,swan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,v5.30,pig_overalls_sardine,pig,overalls,sardine,0.189189189189189,0.810810810810811,sardine,DOD,sardine,1,sardine,1,sardine,1,sardine,1,sardine,1,sardine,1,sardine,1,sardine,1
186,v6.30,dog_organ_pan,dog,organ,pan,0.583333333333333,0.583333333333333,organ,ODOD,pan,0,organ,1,pan,0,organ,1,pan,0,organ,1,pan,0,organ,1
187,v1.31,lime_blackberry_blueberry,lime,blackberry,blueberry,0.405405405405405,0.594594594594595,blueberry,CC,blueberry,1,blueberry,1,blueberry,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,v2.31,nectarine_cauliflower_orange,nectarine,cauliflower,orange,0.243243243243243,0.756756756756757,orange,CD,orange,1,orange,1,cauliflower,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,v3.31,grape_club_passionfruit,grape,club,passionfruit,0.027027027027027,0.972972972972973,passionfruit,COD,passionfruit,1,passionfruit,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,v4.31,dried date_cauliflower_mushroom,dried date,cauliflower,mushroom,0.351351351351351,0.648648648648649,mushroom,DD,mushroom,1,mushroom,1,mushroom,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,v5.31,papaya_gherkin_paintbrush,papaya,gherkin,paintbrush,0.805555555555556,0.805555555555556,gherkin,DOD,gherkin,1,gherkin,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,v6.31,lime_alligator_turkey,lime,alligator,turkey,0.432432432432432,0.567567567567568,turkey,ODOD,alligator,0,turkey,1,turkey,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,v1.32,cucumber_garlic_radish,cucumber,garlic,radish,0.27027027027027,0.72972972972973,radish,CC,radish,1,radish,1,radish,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,v2.32,potato_mushroom_raspberry,potato,mushroom,raspberry,0.8,0.8,mushroom,CD,mushroom,1,mushroom,1,mushroom,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,v3.32,potato_celery_pelican,potato,celery,pelican,0.888888888888889,0.888888888888889,celery,COD,celery,1,celery,1,celery,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,v4.32,potato_orange_peach,potato,orange,peach,0.405405405405405,0.594594594594595,peach,DD,peach,1,orange,0,peach,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,v5.32,onion_parakeet_pumpkin,onion,parakeet,pumpkin,0.0540540540540541,0.945945945945946,pumpkin,DOD,pumpkin,1,pumpkin,1,pumpkin,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,v6.32,onion_slingshot_van,onion,slingshot,van,0.702702702702703,0.702702702702703,slingshot,ODOD,slingshot,1,slingshot,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,v1.33,plough_axe_knife,plough,axe,knife,0.648648648648649,0.648648648648649,axe,CC,axe,1,axe,1,axe,1,axe,1,axe,1,axe,1,axe,1,axe,1
200,v2.33,wire brush_putty knife_shield,wire brush,putty knife,shield,0.837837837837838,0.837837837837838,putty knife,CD,putty knife,1,putty knife,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,v3.33,wood saw_pickaxe_salamander,wood saw,pickaxe,salamander,0.972222222222222,0.972222222222222,pickaxe,COD,pickaxe,1,pickaxe,1,pickaxe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,v4.33,hammer_archery bow_electric kettle,hammer,archery bow,electric kettle,0.675675675675676,0.675675675675676,archery bow,DD,electric kettle,0,electric kettle,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,v5.33,wood saw_costume_whale,wood saw,costume,whale,0.594594594594595,0.594594594594595,costume,DOD,costume,1,whale,0,costume,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,v6.33,putty knife_beetle_hamster,putty knife,beetle,hamster,0.571428571428571,0.571428571428571,beetle,ODOD,beetle,1,beetle,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,v1.34,oven_grater_whisk,oven,grater,whisk,0.486486486486487,0.513513513513513,whisk,CC,whisk,1,grater,0,whisk,1,whisk,1,whisk,1,whisk,1,grater,0,grater,0
206,v2.34,toaster_shield_spoon,toaster,shield,spoon,0.162162162162162,0.837837837837838,spoon,CD,spoon,1,spoon,1,spoon,1,spoon,1,spoon,1,spoon,1,spoon,1,spoon,1
207,v3.34,furnace_camel_wok,furnace,camel,wok,0.0810810810810811,0.918918918918919,wok,COD,wok,1,wok,1,wok,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,v4.34,jar_coat_pyjamas,jar,coat,pyjamas,0.756756756756757,0.756756756756757,coat,DD,coat,1,pyjamas,0,coat,1,coat,1,coat,1,pyjamas,0,coat,1,pyjamas,0
209,v5.34,colander_bean_truck,colander,bean,truck,0.72972972972973,0.72972972972973,bean,DOD,truck,0,bean,1,bean,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,v6.34,drinking glass_beet_parrot,drinking glass,beet,parrot,0.72972972972973,0.72972972972973,beet,ODOD,beet,1,beet,1,beet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,v1.35,trumpet_organ_saxophone,trumpet,organ,saxophone,0.0810810810810811,0.918918918918919,saxophone,CC,saxophone,1,saxophone,1,saxophone,1,saxophone,1,saxophone,1,saxophone,1,saxophone,1,saxophone,1
212,v2.35,pan pipe_harmonica_toaster,pan pipe,harmonica,toaster,0.694444444444444,0.694444444444444,harmonica,CD,harmonica,1,harmonica,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,v3.35,harpsichord_guitar_lime,harpsichord,guitar,lime,0.945945945945946,0.945945945945946,guitar,COD,guitar,1,guitar,1,guitar,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,v4.35,flute_electric kettle_machine gun,flute,electric kettle,machine gun,0.648648648648649,0.648648648648649,electric kettle,DD,machine gun,0,electric kettle,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,v5.35,flute_archery bow_dog,flute,archery bow,dog,0.916666666666667,0.916666666666667,archery bow,DOD,archery bow,1,archery bow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,v6.35,trombone_fox_giraffe,trombone,fox,giraffe,0.314285714285714,0.685714285714286,giraffe,ODOD,fox,0,fox,0,giraffe,1,giraffe,1,giraffe,1,giraffe,1,giraffe,1,giraffe,1
217,v1.36,hat_dress_scarf,hat,dress,scarf,0.222222222222222,0.777777777777778,scarf,CC,scarf,1,scarf,1,dress,0,scarf,1,scarf,1,scarf,1,dress,0,scarf,1
218,v2.36,belt_hat_spear,belt,hat,spear,0.783783783783784,0.783783783783784,hat,CD,hat,1,hat,1,hat,1,hat,1,hat,1,hat,1,hat,1,hat,1
219,v3.36,scarf_belt_pig,scarf,belt,pig,0.864864864864865,0.864864864864865,belt,COD,belt,1,belt,1,belt,1,belt,1,belt,1,belt,1,belt,1,belt,1
220,v4.36,bathing suit_accordion_archery bow,bathing suit,accordion,archery bow,0.540540540540541,0.540540540540541,accordion,DD,accordion,1,accordion,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,v5.36,hat_cannon_toad,hat,cannon,toad,0.694444444444444,0.694444444444444,cannon,DOD,cannon,1,cannon,1,cannon,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,v6.36,socks_cow_fig,socks,cow,fig,0.648648648648649,0.648648648648649,cow,ODOD,fig,0,cow,1,cow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,v1.37,machine gun_cannon_club,machine gun,cannon,club,0.702702702702703,0.702702702702703,cannon,CC,cannon,1,club,0,cannon,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,v2.37,army tank_cap_rope,army tank,cap,rope,0.351351351351351,0.648648648648649,rope,CD,rope,1,rope,1,cap,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,v3.37,spear_cow_whip,spear,cow,whip,0.108108108108108,0.891891891891892,whip,COD,whip,1,whip,1,whip,1,whip,1,whip,1,whip,1,whip,1,whip,1
226,v4.37,dagger_oilcan_prybar,dagger,oilcan,prybar,0.166666666666667,0.833333333333333,prybar,DD,prybar,1,oilcan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,v5.37,bazooka_boa constrictor_scissors,bazooka,boa constrictor,scissors,0.459459459459459,0.540540540540541,scissors,DOD,boa constrictor,0,boa constrictor,0,scissors,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,v6.37,cannon_bee_blackbird,cannon,bee,blackbird,0.527777777777778,0.527777777777778,bee,ODOD,blackbird,0,blackbird,0,blackbird,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,v1.38,carriage_motorbike_submarine,carriage,motorbike,submarine,0.75,0.75,motorbike,CC,motorbike,1,submarine,0,motorbike,1,submarine,0,motorbike,1,motorbike,1,motorbike,1,submarine,0
230,v2.38,mo-ped_electric kettle_hovercraft,mo-ped,electric kettle,hovercraft,0.162162162162162,0.837837837837838,hovercraft,CD,hovercraft,1,hovercraft,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,v3.38,zeppelin_bumblebee_tram,zeppelin,bumblebee,tram,0.297297297297297,0.702702702702703,tram,COD,tram,1,tram,1,NA,NA,tram,1,tram,1,tram,1,NA,NA,NA,NA
232,v4.38,cart_belt_dagger,cart,belt,dagger,0.783783783783784,0.783783783783784,belt,DD,belt,1,dagger,0,belt,1,belt,1,dagger,0,dagger,0,belt,1,belt,1
233,v5.38,rocket_bagpipe_salmon,rocket,bagpipe,salmon,0.864864864864865,0.864864864864865,bagpipe,DOD,salmon,0,bagpipe,1,bagpipe,1,bagpipe,1,bagpipe,1,bagpipe,1,bagpipe,1,bagpipe,1
234,v6.38,tractor_orange_rabbit,tractor,orange,rabbit,0.361111111111111,0.638888888888889,rabbit,ODOD,orange,0,orange,0,orange,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
